controlId;t;charge;discharge;soc;duration;residual
3759;07.06.2015 00:19;0;0.244006898;74.16328306;15;0.244006898
3760;07.06.2015 00:19;0;0.245735225;74.14149802;15;0.245735225
3761;07.06.2015 00:19;0;0.244267449;74.11984311;15;0.244267449
3762;07.06.2015 00:20;0;0.245455866;74.09808283;15;0.245455866
3763;07.06.2015 00:20;0;0.243843774;74.07646548;15;0.243843774
3764;07.06.2015 00:20;0;0.243602958;74.05486947;15;0.243602958
3765;07.06.2015 00:20;0;0.24390706;74.03324651;15;0.24390706
3766;07.06.2015 00:21;0;0.243073147;74.01169747;15;0.243073147
3767;07.06.2015 00:21;0;0.245663926;73.98991875;15;0.245663926
3768;07.06.2015 00:21;0;0.243994573;73.96828803;15;0.243994573
3769;07.06.2015 00:21;0;0.244053782;73.94665205;15;0.244053782
3770;07.06.2015 00:22;0;0.243934055;73.92502669;15;0.243934055
3771;07.06.2015 00:22;0;0.244577647;73.90334428;15;0.244577647
3772;07.06.2015 00:22;0;0.241930753;73.88189652;15;0.241930753
3773;07.06.2015 00:22;0;0.244460664;73.86022447;15;0.244460664
3774;07.06.2015 00:23;0;0.244118844;73.83858273;15;0.244118844
3775;07.06.2015 00:23;0;0.244355204;73.81692003;15;0.244355204
3776;07.06.2015 00:23;0;0.243636489;73.79532106;15;0.243636489
3777;07.06.2015 00:23;0;0.243325052;73.77374969;15;0.243325052
3778;07.06.2015 00:24;0;0.243291944;73.75218125;15;0.243291944
3779;07.06.2015 00:24;0;0.241654892;73.73075794;15;0.241654892
3780;07.06.2015 00:24;0;0.243310961;73.70918782;15;0.243310961
3781;07.06.2015 00:24;0;0.243439448;73.68760631;15;0.243439448
3782;07.06.2015 00:25;0;0.242138654;73.66614012;15;0.242138654
3783;07.06.2015 00:25;0;0.242093837;73.6446779;15;0.242093837
3784;07.06.2015 00:25;0;0.242591652;73.62317155;15;0.242591652
3785;07.06.2015 00:25;0;0.242213645;73.60169871;15;0.242213645
3786;07.06.2015 00:26;0;0.243536826;73.58010856;15;0.243536826
3787;07.06.2015 00:26;0;0.241882442;73.55866508;15;0.241882442
3788;07.06.2015 00:26;0;0.243772032;73.53705409;15;0.243772032
3789;07.06.2015 00:26;0;0.243825984;73.51543831;15;0.243825984
3790;07.06.2015 00:27;0;0.24321293;73.49387688;15;0.24321293
3791;07.06.2015 00:27;0;0.243149682;73.47232106;15;0.243149682
